序号	品牌	型号	使用人数	品牌	机型	制式	价格	屏幕	CPU	内存
0	[Null]	[Null]	2907888							
1	苹果	Iphone 4S	1198885	苹果	Iphone 4S	3G				
2	苹果	Iphone 4	973909	苹果	Iphone 4	3G				
3	苹果	iPhone 5S A1530	503797	苹果	iPhone 5S	3G				
4	小米科技	2013061	455838	小米	小米3	3G				
5	苹果	Iphone 5	447904	苹果	Iphone 5	3G				
6	苹果	iPhone 6 A1586	357871	苹果	iPhone 6	4G				
7	苹果	iPhone 5S A1518	342111	苹果	iPhone 5S	3G				
8	小米科技	2014501	313415	小米	红米4G	4G				
9	小米科技	2014022	286086	小米	红米Note 4G	4G				
10	[Null]	6681	242231							
11	美菱	ML518	237330	美菱						
12	小米科技	2013022	236303	小米	红米	3G				
13	小米科技	Xiaomi MI2	213777	小米	小米2	3G				
14	联想	Lenovo A320t	208563	联想						
15	三星	GT-S7568	194743	三星	S7568					
16	苹果	iPhone 6 Plus A1524	169018	苹果	iPhone 6 Plus 	4G				
17	三星	GT-I9300	168889	三星	I9300					
18	宇龙	Coolpad 8720L	164556	酷派	8720L	4G	500			
19	步步高	vivo Y13	160574	VIVO	Y13					
20	小米科技	2014011	157422	小米	红米1S	3G				
21	苹果	iPhone 5S A1528	151532	苹果	iPhone 5S	3G				
22	华为	HUAWEI Y511-T00	148322	华为	Y511	3G				
23	诺基亚	2610	147061	诺基亚						
24	诺基亚	5230	142953	诺基亚						
25	小米科技	2014216	142623	小米	小米4	4G				
26	步步高	vivo X3t	138484	vivo 	X3T					
27	三星	GT-N7100	132550	三星	N7100					
28	宇龙	Coolpad 8705	124574	酷派	8705	4G	500			
29	步步高	vivo Y11	121700							
30	小米科技	Xiaomi MI2S	120568	小米2S						
31	诺基亚	1050	119402							
32	欧珀	R831S	118769							
33	欧珀	OPPO R831T	115520							
34	欧珀	OPPO R8007	115231							
35	华为	G750-T01	114185	华为	G750	3G				
36	三星	GT-I9500	113452	三星	I9500					
37	福中福	F633	110971							
38	三星	GT-I9308	109035	三星	I9308					
39	三星	GT-I9508	105903	三星	I9508					
40	联想	Lenovo A788t	103561							
41	步步高	vivo S7i(t)	103020							
42	小米科技	2013028	101777	红米电信版						
43	欧珀	OPPO R821T	99949							
44	金立	GN151	98706							
45	三星	GT-I8552	98673	三星	I8552					
